Jurisdiction,Regulators,Token Classification Approach,Stablecoin Notes,RWA Issuance Notes,KYC/AML Expectations,Tax Notes,Last Reviewed,Owner,Status
US,,,,,,,,,
EU,,,,,,,,,
UK,,,,,,,,,
SG,,,,,,,,,
JP,,,,,,,,,
HK,,,,,,,,,
AE (UAE),,,,,,,,,
CH (Switzerland),,,,,,,,,
